rho,meanDelay-ALT,sd_time-ALT,MessageOverhead-ALT,sd_msg-ALT,meanDelay-JSQ,sd_time-JSQ,MessageOverhead-JSQ,sd_msg-JSQ
0.8,112.85121,1.7518410235360973,40.0,0.0,126.467414,1.6438201819143117,40.0,0.0
0.8065517241379311,120.17746400000001,3.305175382293169,40.0,0.0,133.145342,2.458434939980151,40.0,0.0
0.8131034482758621,120.42398627586208,1.2269505610090143,40.0,0.0,134.49151634482757,1.6297716170871377,40.0,0.0
0.8196551724137932,131.810796,4.308778979367218,40.0,0.0,145.638028,3.9534188028524393,40.0,0.0
0.8262068965517242,132.142684,2.819660861047795,40.0,0.0,146.10481000000001,2.380586445521356,40.0,0.0
0.8327586206896552,134.13933806896551,4.681630985851597,40.0,0.0,147.6523292413793,4.031352970615948,40.0,0.0
0.8393103448275863,138.988858,4.71559599246534,40.0,0.0,153.13302,4.277485680630621,40.0,0.0
0.8458620689655173,145.62430565517244,1.49474478491702,40.0,0.0,160.22765468965517,1.3435471989671055,40.0,0.0
0.8524137931034483,156.224244,6.742275175034373,40.0,0.0,170.467874,5.774266950849844,40.0,0.0
0.8589655172413794,165.549906,2.7975627151656157,40.0,0.0,176.518338,2.4181616082179453,40.0,0.0
0.8655172413793104,168.70956606896553,5.542598895421653,40.0,0.0,180.31512937931035,4.932914583395993,40.0,0.0
0.8720689655172414,181.090142,7.373117020099651,40.0,0.0,191.843394,6.366500494859386,40.0,0.0
0.8786206896551725,194.293516,4.771372594538893,40.0,0.0,203.952518,4.930136213199305,40.0,0.0
0.8851724137931035,196.80738000000002,8.634514023307156,40.0,0.0,207.52064000000001,8.319877787907705,40.0,0.0
0.8917241379310346,215.11288517241383,8.215409745764358,40.0,0.0,225.6337072413793,7.747041711017923,40.0,0.0
0.8982758620689655,219.260608,8.001350588345142,40.0,0.0,230.9487,7.256833938000788,40.0,0.0
0.9048275862068966,236.588004,5.192365344142571,40.0,0.0,240.72356400000004,4.26649462311308,40.0,0.0
0.9113793103448276,259.52509,5.245851422454894,40.0,0.0,260.38579599999997,3.092333719549168,40.0,0.0
0.9179310344827587,287.18174799999997,16.39214816782386,40.0,0.0,288.08463199999994,16.089493526307752,40.0,0.0
0.9244827586206896,326.359288,19.673260870189345,40.0,0.0,316.889304,15.937723608767874,40.0,0.0
0.9310344827586208,336.80145,19.845696194030182,40.0,0.0,327.56171,15.352990477680105,40.0,0.0
0.9375862068965517,311.841956,17.222013322983255,40.0,0.0,308.617346,13.916030908452482,40.0,0.0
0.9441379310344827,382.7207118620689,16.224567119278348,40.0,0.0,370.68777503448274,15.952899364659388,40.0,0.0
0.9506896551724138,530.3638100000001,63.27095634046274,40.0,0.0,484.8039,47.62812403112094,40.0,0.0
0.9572413793103448,619.3542,39.627679166424365,40.0,0.0,566.342274,35.236076347882495,40.0,0.0
0.9637931034482758,599.832692,77.262666995496,40.0,0.0,539.510104,53.32665840917487,40.0,0.0
0.9703448275862069,827.879292,110.54667194302255,40.0,0.0,769.7689359999999,103.37034054836919,40.0,0.0
0.9768965517241379,860.2461879999998,74.20162380748864,40.0,0.0,787.546542,68.67566493990043,40.0,0.0
0.983448275862069,1100.979262,169.98228152985772,40.0,0.0,978.43312,156.1923114158615,40.0,0.0
0.99,1934.595794,341.92417389203894,40.0,0.0,1680.266416,292.9925745622614,40.0,0.0
