rho,meanDelay,sd_time,MessageOverhead,sd_msg
0.8,84.453214,3.090726623065909,0.7308459999999999,0.04012670193773717
0.81,83.972988,4.388875431215792,0.8397180000000001,0.047451602581999264
0.8200000000000001,92.88835399999999,3.2058362629841843,0.7313299999999999,0.026474565190008313
0.8300000000000001,91.13707199999999,5.91163052748813,0.791962,0.04971949086223631
0.8400000000000001,98.88471799999999,5.491604470406404,0.7789200000000001,0.04022252751879225
0.85,99.958394,3.654331890319816,0.784914,0.03930395939851352
0.86,94.914522,5.302359791282707,0.832094,0.050854375862849785
0.87,95.305328,5.676019595566033,0.8034359999999999,0.05098866711731147
0.88,103.24024200000001,8.24443992152066,0.830776,0.045827494873710906
0.89,109.638676,3.343582899068363,0.8340839999999998,0.03099629304287853
0.9,105.533786,6.970186187731314,0.82711,0.04910748222012609
0.91,116.03517,4.642053613478629,0.795702,0.0321445194644437
0.92,112.09466,5.427416051373987,0.7986639999999999,0.033328189965853225
0.9299999999999999,124.815806,5.616796644434298,0.798862,0.019747994622239494
0.94,128.552988,8.268840945749627,0.808342,0.036121584289729045
0.95,158.92576199999996,7.968989778068208,0.768378,0.02141501350921825
0.96,170.13093800000001,14.176077395544494,0.7427759999999999,0.0225527601503674
0.97,226.208754,22.112381774883325,0.70567,0.021152359159204912
0.98,305.056044,48.414590411391785,0.693806,0.01702994375798112
0.99,809.923998,158.47484096617148,0.667368,0.013419845960367795
